HPV.type	comparison	limma.voom.pvalue	limma.voom.fdr	FE.detection.diff	FE.pvalue	FE.fdr	binomialGLM.pvalue	binomialGLM.fdr
HPV33	FFPE-SCC_vs_AdenoTypes-1var-qPCR20	0.479708863459217	0.639611817945623	7.4%	0.539024390243902	0.61602787456446	0.996962404478054	0.997085718558129
HPV45	FFPE-SCC_vs_AdenoTypes-1var-qPCR20	0.390490826208386	0.639611817945623	14.8%	0.280231065468549	0.61602787456446	0.99505390888248	0.997085718558129
HPV58	FFPE-SCC_vs_AdenoTypes-1var-qPCR20	0.29839252419768	0.639611817945623	11.1%	0.539024390243902	0.61602787456446	0.995145585236346	0.997085718558129
HPV67	FFPE-SCC_vs_AdenoTypes-1var-qPCR20	0.457987806250429	0.639611817945623	3.7%	1	1	0.997085718558129	0.997085718558129
HPV73	FFPE-SCC_vs_AdenoTypes-1var-qPCR20	0.66377052370951	0.66377052370951	7.4%	0.539024390243902	0.61602787456446	0.996962404478044	0.997085718558129
HPV16	DNA-SCC_vs_AdenoTypes-1var-all5	0.00611862200716077	0.0122372440143215	82.6%	0.05	0.1	0.99454544702596	0.997322914104121
HPV18	DNA-SCC_vs_AdenoTypes-1var-all5	8.82382817033612e-06	3.52953126813445e-05	-91.3%	0.02	0.08	0.996381414332009	0.997322914104121
HPV58	DNA-SCC_vs_AdenoTypes-1var-all5	0.29626628591208	0.395021714549439	4.3%	1	1	0.997322914104121	0.997322914104121
HPV59	DNA-SCC_vs_AdenoTypes-1var-all5	0.879085637596281	0.879085637596281	8.7%	1	1	0.997194956632694	0.997322914104121
HPV16	Frozen-SCC_vs_AdenoTypes-1var-all5	0.011023502756508	0.0275587568912699	48.5%	0.0638204707170224	0.159551176792556	0.0578082340938578	0.144520585234645
HPV18	Frozen-SCC_vs_AdenoTypes-1var-all5	0.00102394849030447	0.00511974245152237	-49.3%	0.0334806955496611	0.159551176792556	0.0282147037867265	0.141073518933633
HPV45	Frozen-SCC_vs_AdenoTypes-1var-all5	0.538314300233228	0.672892875291536	4.3%	1	1	0.997005873054324	0.997005873054324
HPV58	Frozen-SCC_vs_AdenoTypes-1var-all5	0.950340544623674	0.950340544623674	5%	1	1	0.785401595988983	0.997005873054324
HPV59	Frozen-SCC_vs_AdenoTypes-1var-all5	0.426568730946704	0.672892875291536	4.3%	1	1	0.997005873053308	0.997005873054324
HPV16	FFPE-SCC_vs_AdenoTypes-1var-all5	0.658232253421853	0.868269644831707	2.8%	1	1	0.842090691763903	0.996752269279525
HPV18	FFPE-SCC_vs_AdenoTypes-1var-all5	0.304229786179457	0.834852532431082	-2.8%	1	1	0.842090691763905	0.996752269279525
HPV31	FFPE-SCC_vs_AdenoTypes-1var-all5	0.572274922332714	0.868269644831707	8.3%	0.542815674891147	0.984905660377359	0.994595860983198	0.996752269279525
HPV33	FFPE-SCC_vs_AdenoTypes-1var-all5	0.92329491559762	0.92329491559762	5.6%	0.547169811320755	0.984905660377359	0.99661439821489	0.996752269279525
HPV45	FFPE-SCC_vs_AdenoTypes-1var-all5	0.206485712632215	0.834852532431082	11.1%	0.288824383164006	0.984905660377359	0.994495620744349	0.996752269279525
HPV58	FFPE-SCC_vs_AdenoTypes-1var-all5	0.34742839331722	0.834852532431082	8.40000000000001%	0.767819069513906	1	0.554553148569345	0.996752269279525
HPV59	FFPE-SCC_vs_AdenoTypes-1var-all5	0.747794034110655	0.868269644831707	2.8%	1	1	0.996752269279525	0.996752269279525
HPV67	FFPE-SCC_vs_AdenoTypes-1var-all5	0.771795239850406	0.868269644831707	5.6%	0.547169811320755	0.984905660377359	0.996614398214901	0.996752269279525
HPV73	FFPE-SCC_vs_AdenoTypes-1var-all5	0.37104556996937	0.834852532431082	5.6%	0.547169811320755	0.984905660377359	0.99661439821492	0.996752269279525
HPV16	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.0447905724613438	0.201557576076047	skipped	skipped	skipped	0.181185770371594	0.815335966672174
HPV18	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.000743325999984003	0.00668993399985603	skipped	skipped	skipped	0.000389041774360486	0.00350137596924438
HPV31	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.868907639642145	0.965715415909477	skipped	skipped	skipped	0.99641249472405	0.996561750424106
HPV33	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.903034882928966	0.965715415909477	skipped	skipped	skipped	0.99641249472751	0.996561750424106
HPV45	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.256856106170228	0.646498812786358	skipped	skipped	skipped	0.994099344576956	0.996561750424106
HPV58	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.287332805682826	0.646498812786358	skipped	skipped	skipped	0.465777034486155	0.996561750424106
HPV59	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.965715415909477	0.965715415909477	skipped	skipped	skipped	0.994287195352977	0.996561750424106
HPV67	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.384049112439198	0.691288402390557	skipped	skipped	skipped	0.996561750424106	0.996561750424106
HPV73	Overall-SCC_vs_AdenoTypes-2var-qPCR20	0.577803209373881	0.866704814060821	skipped	skipped	skipped	0.996412494724321	0.996561750424106
HPV16	Overall-SCC_vs_AdenoTypes-2var-all5	0.0444856188300652	0.200185284735293	skipped	skipped	skipped	0.0337322222656559	0.151795000195452
HPV18	Overall-SCC_vs_AdenoTypes-2var-all5	0.00100099319045496	0.00900893871409465	skipped	skipped	skipped	0.0110193927837017	0.0991745350533152
HPV31	Overall-SCC_vs_AdenoTypes-2var-all5	0.822856960736106	0.822856960736106	skipped	skipped	skipped	0.996031434447212	0.996127358098475
HPV33	Overall-SCC_vs_AdenoTypes-2var-all5	0.646879427241909	0.822856960736106	skipped	skipped	skipped	0.996127358098475	0.996127358098475
HPV45	Overall-SCC_vs_AdenoTypes-2var-all5	0.171544721548104	0.486802199703064	skipped	skipped	skipped	0.993632344391565	0.996127358098475
HPV58	Overall-SCC_vs_AdenoTypes-2var-all5	0.216356533201362	0.486802199703064	skipped	skipped	skipped	0.894083506317092	0.996127358098475
HPV59	Overall-SCC_vs_AdenoTypes-2var-all5	0.750561810785507	0.822856960736106	skipped	skipped	skipped	0.993721642259436	0.996127358098475
HPV67	Overall-SCC_vs_AdenoTypes-2var-all5	0.771962683551438	0.822856960736106	skipped	skipped	skipped	0.996127358093855	0.996127358098475
HPV73	Overall-SCC_vs_AdenoTypes-2var-all5	0.275769040240223	0.496384272432401	skipped	skipped	skipped	0.996127358096877	0.996127358098475
